RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainLabel,Best Micro-averaged F-Measure,500,45,2,0.05,,,0.3447,0.0631,0.4504,0.4303,0.4076,0.4187,0.3078,0.2328,0.2368,
RDTChainPercentage,Best Micro-averaged F-Measure,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,20,2,0.4,0.75,,0.0280,0.0924,0.1509,0.2667,0.3754,0.3118,0.2171,0.1725,0.1401,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,25,2,0.4,1.0,,0.3168,0.0639,0.4067,0.4132,0.3490,0.3784,0.2331,0.1706,0.1696,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Macro-averaged Precision,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Macro-averaged Precision,500,35,2,,,,0.4441,0.0541,0.4596,0.8125,0.0381,0.0728,0.0860,0.0148,0.0251,
RDTLabelPowerset,Best Macro-averaged Precision,500,45,2,,,,0.4596,0.0502,0.5036,0.7237,0.1613,0.2638,0.6226,0.1621,0.2439,
RDTChainLabel,Best Macro-averaged Precision,500,35,2,0.15,,,0.3447,0.0636,0.4502,0.4241,0.3930,0.4079,0.3495,0.2150,0.2189,
RDTChainPercentage,Best Macro-averaged Precision,500,35,2,0.35,,,0.4441,0.0551,0.4495,1.0000,0.0117,0.0232,0.1053,0.0047,0.0089,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,40,2,0.4,0.0,,0.0155,0.1259,0.1262,0.1803,0.3548,0.2391,0.1563,0.1607,0.1044,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,25,2,0.4,0.75,,0.0342,0.0924,0.1532,0.2657,0.3724,0.3101,0.2264,0.1683,0.1336,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,40,2,0.4,1.0,,0.3416,0.0644,0.4318,0.4070,0.3402,0.3706,0.2362,0.1676,0.1683,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,25,2,0.4,1.0,,0.4472,0.0551,0.4521,0.8333,0.0147,0.0288,0.0921,0.0062,0.0113,

RDTLabel,Best Macro-averaged Recall,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Macro-averaged Recall,500,45,2,,,,0.4534,0.0541,0.4658,0.7500,0.0440,0.0831,0.0803,0.0178,0.0290,
RDTLabelPowerset,Best Macro-averaged Recall,500,25,2,,,,0.4627,0.0505,0.5043,0.7051,0.1613,0.2625,0.6083,0.1638,0.2463,
RDTChainLabel,Best Macro-averaged Recall,500,45,2,0.05,,,0.3447,0.0631,0.4504,0.4303,0.4076,0.4187,0.3078,0.2328,0.2368,
RDTChainPercentage,Best Macro-averaged Recall,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,50,2,0.4,0.75,,0.0342,0.0933,0.1560,0.2643,0.3783,0.3112,0.1997,0.1730,0.1347,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,25,2,0.4,1.0,,0.3168,0.0639,0.4067,0.4132,0.3490,0.3784,0.2331,0.1706,0.1696,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Macro-averaged F-Measure,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
